Date,Rspm
4/18/2011,97
4/21/2011,64
4/25/2011,41
4/29/2011,100
2/5/2011,110
5/5/2011,151
7/5/2011,126
10/5/2011,111
5/15/2011,102
5/18/2011,81
5/20/2011,116
5/25/2011,47
5/29/2011,75
2/6/2011,56
5/6/2011,47
7/6/2011,71
10/6/2011,37
6/15/2011,62
6/18/2011,115
6/20/2011,121
6/25/2011,83
6/29/2011,98
2/7/2011,47
7/7/2011,56
10/7/2011,78
7/15/2011,30
7/18/2011,39
7/20/2011,45
7/23/2011,53
7/25/2011,37
7/29/2011,36
2/8/2011,33
4/8/2011,43
7/8/2011,44
10/8/2011,28
8/13/2011,31
8/18/2011,59
8/22/2011,42
8/24/2011,72
8/26/2011,32
3/9/2011,54
6/9/2011,35
9/9/2011,54
9/14/2011,57
9/18/2011,56
9/22/2011,71
9/24/2011,70
9/26/2011,119
9/30/2011,130
3/10/2011,69
7/10/2011,91
9/10/2011,82
10/14/2011,70
10/19/2011,79
10/22/2011,79
10/26/2011,161
10/27/2011,91
10/31/2011,74
2/11/2011,62
4/11/2011,91
7/11/2011,132
10/11/2011,147
11/14/2011,98
11/18/2011,98
11/22/2011,96
11/26/2011,70
11/30/2011,96
2/12/2011,152
5/12/2011,166
8/12/2011,120
11/12/2011,98
12/16/2011,131
12/20/2011,137
12/22/2011,154
12/24/2011,105
12/28/2011,113
3/1/2011,104
5/1/2011,112.3
9/1/2011,114
11/1/2011,117.3
1/21/2011,127.3
1/23/2011,100
1/27/2011,144
1/29/2011,108.7
1/31/2011,122.7
2/2/2011,129.7
5/2/2011,110.3
8/2/2011,99.7
11/2/2011,111.3
2/16/2011,102.3
2/18/2011,127.7
2/25/2011,124.7
2/26/2011,133.7
2/28/2011,122.3
4/3/2011,99.7
7/3/2011,128
9/3/2011,147
3/15/2011,116.3
3/17/2011,90.7
3/21/2011,106.7
3/25/2011,91.3
3/27/2011,136.3
3/29/2011,127.3
2/4/2011,128
5/4/2011,120
7/4/2011,87
10/4/2011,116
4/13/2011,97
4/18/2011,115
4/25/2011,56
4/29/2011,116
2/5/2011,97
5/5/2011,
7/5/2011,130
10/5/2011,130
5/15/2011,105
5/18/2011,108
5/20/2011,106
5/25/2011,126
2/6/2011,110
5/6/2011,80
7/6/2011,136
10/6/2011,61
6/15/2011,92
6/18/2011,126
6/20/2011,111
6/25/2011,89
6/29/2011,97
2/7/2011,110
7/7/2011,116
10/7/2011,72
7/15/2011,88
7/18/2011,72
7/20/2011,79
7/23/2011,91
7/25/2011,100
7/29/2011,67
2/8/2011,75
4/8/2011,87
7/8/2011,72
10/8/2011,68
8/13/2011,89
8/18/2011,76
8/22/2011,79
8/24/2011,60
8/26/2011,75
3/9/2011,74
6/9/2011,84
9/9/2011,68
9/14/2011,91
9/18/2011,51
9/22/2011,66
9/24/2011,61
9/26/2011,81
9/30/2011,133
3/10/2011,110
5/10/2011,70
7/10/2011,70
9/10/2011,73
10/14/2011,73
10/14/2011,73
10/19/2011,75
10/19/2011,75
10/22/2011,81
10/22/2011,81
10/26/2011,123
10/26/2011,123
10/27/2011,74
10/27/2011,74
10/31/2011,105
10/31/2011,105
2/11/2011,94
4/11/2011,143
7/11/2011,130
10/11/2011,132
11/14/2011,112
11/18/2011,102
11/22/2011,87
11/26/2011,64
11/30/2011,78
2/12/2011,148
5/12/2011,147
8/12/2011,110
11/12/2011,109
12/16/2011,105
12/20/2011,159
12/22/2011,123
12/24/2011,115
12/28/2011,99
3/1/2011,50
5/1/2011,29
9/1/2011,52
11/1/2011,78
1/17/2011,67
1/19/2011,65
1/21/2011,61
1/27/2011,38
2/2/2011,39
4/2/2011,64
8/2/2011,54
10/2/2011,33
2/14/2011,41
2/20/2011,26
2/22/2011,28
2/24/2011,41
1/3/2011,61
7/3/2011,159
10/3/2011,82
3/15/2011,160
3/18/2011,120
3/23/2011,88
3/27/2011,104
3/30/2011,150
6/4/2011,125
10/4/2011,47
12/4/2011,52
4/15/2011,77
4/18/2011,60
4/20/2011,60
4/26/2011,85
4/28/2011,61
4/5/2011,97
6/5/2011,118
10/5/2011,154
12/5/2011,66
5/18/2011,162
5/22/2011,69
5/24/2011,49
5/26/2011,155
2/6/2011,27
7/6/2011,170
9/6/2011,131
6/15/2011,71
6/19/2011,139
6/22/2011,139
6/24/2011,98
6/28/2011,116
1/7/2011,23
5/7/2011,67
10/7/2011,49
7/14/2011,104
7/18/2011,52
7/21/2011,59
7/25/2011,54
7/28/2011,50
1/8/2011,116
4/8/2011,61
7/8/2011,47
10/8/2011,65
8/16/2011,79
8/19/2011,51
8/29/2011,48
5/9/2011,31
8/9/2011,98
12/9/2011,31
9/16/2011,37
9/20/2011,26
9/25/2011,43
9/27/2011,23
9/30/2011,30
10/10/2011,24
12/10/2011,45
10/16/2011,19
10/19/2011,14
10/21/2011,28
10/24/2011,38
10/27/2011,23
2/11/2011,18
8/11/2011,8
11/13/2011,3
11/17/2011,19
11/21/2011,12
11/23/2011,25
11/25/2011,12
11/29/2011,4
4/12/2011,16
7/12/2011,18
12/12/2011,7
12/15/2011,23
12/20/2011,9
12/23/2011,6
12/27/2011,21
12/29/2011,4
3/1/2011,75
5/1/2011,77
9/1/2011,108
11/1/2011,113
1/17/2011,96
1/19/2011,100
1/21/2011,96
1/27/2011,87
2/2/2011,98
4/2/2011,144
8/2/2011,94
10/2/2011,125
2/14/2011,80
2/20/2011,64
2/22/2011,60
2/24/2011,59
1/3/2011,55
7/3/2011,95
10/3/2011,120
3/15/2011,114
3/18/2011,131
3/23/2011,73
3/27/2011,146
3/30/2011,155
6/4/2011,277
10/4/2011,149
12/4/2011,165
4/15/2011,81
4/18/2011,95
4/20/2011,100
4/26/2011,52
4/28/2011,134
4/5/2011,103
6/5/2011,81
10/5/2011,124
12/5/2011,150
5/18/2011,171
5/22/2011,143
5/24/2011,83
5/26/2011,92
2/6/2011,100
7/6/2011,59
9/6/2011,83
6/15/2011,46
6/19/2011,81
6/22/2011,80
6/24/2011,79
6/28/2011,71
1/7/2011,65
5/7/2011,80
10/7/2011,111
7/14/2011,90
7/18/2011,62
7/21/2011,70
7/25/2011,62
7/28/2011,50
1/8/2011,103
4/8/2011,252
7/8/2011,76
10/8/2011,51
8/16/2011,49
8/19/2011,101
8/24/2011,96
8/29/2011,83
5/9/2011,211
8/9/2011,191
12/9/2011,48
9/16/2011,29
9/20/2011,45
9/25/2011,49
9/27/2011,46
9/30/2011,30
3/10/2011,46
10/10/2011,94
12/10/2011,72
10/16/2011,62
10/19/2011,40
10/21/2011,60
10/24/2011,58
10/27/2011,47
2/11/2011,50
8/11/2011,27
11/13/2011,45
11/17/2011,26
11/23/2011,45
11/25/2011,23
11/29/2011,30
4/12/2011,17
7/12/2011,29
12/13/2011,21
12/15/2011,14
12/20/2011,17
12/23/2011,29
12/27/2011,19
12/29/2011,30
2/1/2012,40
5/1/2012,62
8/1/2012,93
11/1/2012,69
1/13/2012,93
1/19/2012,88
1/21/2012,74
1/24/2012,76
1/30/2012,62
2/2/2012,83
6/2/2012,66
8/2/2012,105
12/2/2012,63
2/17/2012,52
2/21/2012,123
2/23/2012,103
2/25/2012,214
2/27/2012,109
2/3/2012,105
6/3/2012,142
10/3/2012,139
12/3/2012,105
3/17/2012,110
3/21/2012,126
3/24/2012,174
3/26/2012,117
3/29/2012,94
2/4/2012,64
6/4/2012,84
10/4/2012,85
4/15/2012,83
4/18/2012,71
4/21/2012,106
4/23/2012,69
4/26/2012,77
4/28/2012,82
2/5/2012,106
5/5/2012,101
8/5/2012,96
5/13/2012,85
5/16/2012,84
5/18/2012,118
5/21/2012,119
5/24/2012,101
5/29/2012,116
5/6/2012,88
8/6/2012,49
11/6/2012,53
6/17/2012,90
6/20/2012,60
6/22/2012,47
6/25/2012,61
6/28/2012,62
2/7/2012,46
4/7/2012,22
8/7/2012,56
10/7/2012,44
7/15/2012,80
7/20/2012,41
7/23/2012,31
7/26/2012,51
7/28/2012,38
2/8/2012,58
4/8/2012,71
7/8/2012,34
12/8/2012,89
8/17/2012,27
8/20/2012,64
8/23/2012,33
8/25/2012,61
8/30/2012,40
3/9/2012,44
5/9/2012,19
9/9/2012,65
11/9/2012,76
9/15/2012,31
9/18/2012,37
9/21/2012,49
9/24/2012,62
9/30/2012,128
2/10/2012,81
5/10/2012,97
8/10/2012,106
11/10/2012,100
10/15/2012,95
10/18/2012,76
10/21/2012,100
10/26/2012,78
10/27/2012,74
3/11/2012,140
5/11/2012,27
6/11/2012,78
12/11/2012,142
11/13/2012,110
11/18/2012,240
11/21/2012,114
11/24/2012,77
11/27/2012,69
3/12/2012,97
6/12/2012,97
11/12/2012,147
12/15/2012,210
12/18/2012,85
12/21/2012,95
12/23/2012,102
12/26/2012,73
12/28/2012,104
12/28/2012,124
2/1/2012,76
5/1/2012,60
8/1/2012,112
11/1/2012,104
1/13/2012,111
1/19/2012,114
1/21/2012,149
1/24/2012,110
1/30/2012,120
2/2/2012,149
6/2/2012,124
8/2/2012,121
12/2/2012,84
2/17/2012,68
2/21/2012,151
2/23/2012,145
2/25/2012,146
2/27/2012,135
2/3/2012,146
6/3/2012,151
10/3/2012,152
12/3/2012,100
3/17/2012,168
3/21/2012,233
3/24/2012,195
3/26/2012,176
3/29/2012,141
2/4/2012,108
6/4/2012,133
4/15/2012,127
4/18/2012,117
4/21/2012,144
4/23/2012,141
4/24/2012,143
4/26/2012,75
4/28/2012,101
2/5/2012,124
5/5/2012,111
8/5/2012,103
5/13/2012,100
5/16/2012,144
5/18/2012,176
5/21/2012,102
5/24/2012,122
5/29/2012,137
2/6/2012,127
8/6/2012,81
11/6/2012,106
6/17/2012,63
6/20/2012,72
6/22/2012,70
6/24/2012,81
6/25/2012,81
6/28/2012,64
2/7/2012,38
4/7/2012,77
7/7/2012,64
10/7/2012,116
7/15/2012,65
7/20/2012,77
7/23/2012,65
7/26/2012,87
7/28/2012,71
2/8/2012,53
4/8/2012,68
7/8/2012,91
12/8/2012,80
8/17/2012,93
8/20/2012,53
8/23/2012,74
8/25/2012,124
8/30/2012,64
3/9/2012,47
5/9/2012,52
9/9/2012,52
11/9/2012,35
9/15/2012,68
9/18/2012,80
9/21/2012,93
9/24/2012,116
9/27/2012,130
3/10/2012,72
5/10/2012,77
8/10/2012,135
11/10/2012,111
10/15/2012,156
10/18/2012,183
10/21/2012,106
10/25/2012,124
10/27/2012,114
3/11/2012,52
5/11/2012,82
11/18/2012,147
11/21/2012,86
11/24/2012,72
11/27/2012,96
3/12/2012,85
6/12/2012,87
11/12/2012,85
12/15/2012,155
12/18/2012,87
12/21/2012,94
12/23/2012,89
12/26/2012,111
12/28/2012,137
3/1/2013,110
6/1/2013,70
9/1/2013,123
11/1/2013,88
1/15/2013,87
1/18/2013,154
1/21/2013,103
1/24/2013,104
1/28/2013,91
3/2/2013,123
6/2/2013,63
9/2/2013,121
2/14/2013,128
2/16/2013,43
2/18/2013,92
2/20/2013,110
2/22/2013,84
2/26/2013,119
3/3/2013,159
6/3/2013,56
9/3/2013,66
12/3/2013,183
3/18/2013,101
3/21/2013,82
3/23/2013,96
3/26/2013,99
3/28/2013,74
3/4/2013,112
6/4/2013,104
8/4/2013,112
12/4/2013,115
4/18/2013,73
4/20/2013,91
4/23/2013,61
4/26/2013,71
4/28/2013,92
3/5/2013,108
5/19/2013,142
5/21/2013,94
5/23/2013,112
5/26/2013,166
5/29/2013,52
3/6/2013,69
6/6/2013,35
8/6/2013,36
12/6/2013,77
6/18/2013,99
6/20/2013,71
6/28/2013,52
3/7/2013,41
6/7/2013,64
8/7/2013,30
12/7/2013,29
7/18/2013,23
7/20/2013,29
7/23/2013,27
7/26/2013,43
7/28/2013,54
3/8/2013,42
6/8/2013,54
8/8/2013,56
12/8/2013,60
8/18/2013,26
8/20/2013,37
8/23/2013,58
8/26/2013,45
8/28/2013,75
3/9/2013,78
6/9/2013,73
8/9/2013,64
12/9/2013,38
9/17/2013,54
9/19/2013,54
9/22/2013,35
9/24/2013,33
9/27/2013,53
3/10/2013,60
6/10/2013,65
8/10/2013,68
12/10/2013,55
10/18/2013,71
10/20/2013,72
10/23/2013,31
10/26/2013,16
10/28/2013,76
3/11/2013,136
6/11/2013,97
9/11/2013,70
12/11/2013,118
11/16/2013,140
11/19/2013,95
11/21/2013,87
11/26/2013,69
11/29/2013,55
3/12/2013,
6/12/2013,113
9/12/2013,92
12/12/2013,107
12/16/2013,84
12/19/2013,139
12/21/2013,74
12/26/2013,129
12/29/2013,90
3/1/2013,111
6/1/2013,79
9/1/2013,96
11/1/2013,95
1/15/2013,95
1/18/2013,85
1/21/2013,83
1/24/2013,92
1/28/2013,87
3/2/2013,105
6/2/2013,89
9/2/2013,95
2/14/2013,92
2/16/2013,71
2/18/2013,75
2/20/2013,94
2/22/2013,86
2/26/2013,86
3/3/2013,84
6/3/2013,87
9/3/2013,85
12/3/2013,97
3/18/2013,100
3/21/2013,186
3/23/2013,112
3/28/2013,105
